% number of locations
36
% for each location: node, x, y
0, 0, 0
1, 619, 504
2, 335, 337
3, 807, 209
4, 332, 585
5, 292, 621
6, 612, 489
7, 649, 446
8, 573, 443
9, 520, 505
10, 604, 453
11, 553, 488
12, 324, 342
13, 357, 272
14, 361, 258
15, 290, 282
16, 367, 296
17, 353, 330
18, 890, 170
19, 921, 131
20, 843, 243
21, 820, 186
22, 842, 219
23, 741, 139
24, 402, 595
25, 318, 690
26, 321, 612
27, 321, 486
28, 333, 563
29, 357, 492
30, 249, 576
31, 302, 628
32, 396, 689
33, 285, 714
34, 306, 687
35, 304, 581
% number of vessels
7
% number of vessel types
3
% for each vesseltype: vessel_id, battery range, operational cost, speed, passenger capacity, fixed cost
1, 2000, 1, 20, 10, 7500 
2, 2750, 2, 22, 15, 15000 
3, 3500, 3.5, 25, 25, 25000 
% number of charging stations
5
% for each charging station: node, x, y
1, 619, 504
2, 335, 337
3, 807, 209
4, 332, 585
5, 292, 621
% number of jobs
30
% for each job: node, crew needed
6, 4
7, 6
8, 6
9, 3
10, 7
11, 10
12, 4
13, 3
14, 2
15, 8
16, 4
17, 2
18, 3
19, 7
20, 5
21, 5
22, 5
23, 8
24, 4
25, 3
26, 2
27, 5
28, 7
29, 3
30, 6
31, 5
32, 10
33, 4
34, 7
35, 4
% number of nodes
60
% for each node: node, binary
6, 0
6, 1
7, 0
7, 1
8, 0
8, 1
9, 0
9, 1
10, 0
10, 1
11, 0
11, 1
12, 0
12, 1
13, 0
13, 1
14, 0
14, 1
15, 0
15, 1
16, 0
16, 1
17, 0
17, 1
18, 0
18, 1
19, 0
19, 1
20, 0
20, 1
21, 0
21, 1
22, 0
22, 1
23, 0
23, 1
24, 0
24, 1
25, 0
25, 1
26, 0
26, 1
27, 0
27, 1
28, 0
28, 1
29, 0
29, 1
30, 0
30, 1
31, 0
31, 1
32, 0
32, 1
33, 0
33, 1
34, 0
34, 1
35, 0
35, 1
% costs
% fixed penalty
3000
% penalty per crew
750
% preprocessing
% PreferredCS 
(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)
(2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0)
(3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0)
(4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0)
(5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0)
(2, 315.96), (1, 16.55), (2, 315.96), (3, 341.21), (4, 296.0), (5, 346.16), (1, 16.55), (1, 16.55), (1, 16.55), (1, 16.55), (1, 16.55), (1, 16.55), (2, 315.96), (1, 16.55), (1, 16.55), (2, 315.96), (1, 16.55), (1, 16.55), (3, 341.21), (3, 341.21), (1, 16.55), (3, 341.21), (3, 341.21), (1, 16.55), (1, 16.55), (1, 16.55), (4, 296.0), (1, 16.55), (1, 16.55), (1, 16.55), (4, 296.0), (4, 296.0), (1, 16.55), (1, 16.55), (1, 16.55), (4, 296.0)
(2, 332.38), (1, 65.3), (2, 332.38), (3, 284.84), (4, 346.14), (5, 397.59), (1, 65.3), (1, 65.3), (1, 65.3), (1, 65.3), (1, 65.3), (1, 65.3), (2, 332.38), (2, 332.38), (2, 332.38), (2, 332.38), (2, 332.38), (2, 332.38), (3, 284.84), (3, 284.84), (3, 284.84), (3, 284.84), (3, 284.84), (3, 284.84), (1, 65.3), (1, 65.3), (4, 346.14), (1, 65.3), (1, 65.3), (1, 65.3), (4, 346.14), (4, 346.14), (1, 65.3), (1, 65.3), (1, 65.3), (4, 346.14)
(2, 260.54), (1, 76.4), (2, 260.54), (3, 330.93), (4, 279.72), (5, 332.63), (1, 76.4), (1, 76.4), (1, 76.4), (1, 76.4), (1, 76.4), (1, 76.4), (2, 260.54), (2, 260.54), (2, 260.54), (2, 260.54), (2, 260.54), (2, 260.54), (3, 330.93), (3, 330.93), (3, 330.93), (3, 330.93), (3, 330.93), (3, 330.93), (1, 76.4), (4, 279.72), (4, 279.72), (1, 76.4), (4, 279.72), (1, 76.4), (4, 279.72), (4, 279.72), (1, 76.4), (4, 279.72), (4, 279.72), (4, 279.72)
