% number of locations
36
% for each location: node, x, y
0, 0, 0
1, 646, 664
2, 867, 219
3, 583, 479
4, 261, 872
5, 986, 147
6, 646, 636
7, 637, 677
8, 639, 777
9, 608, 660
10, 561, 604
11, 575, 616
12, 848, 221
13, 853, 208
14, 884, 184
15, 883, 226
16, 843, 175
17, 858, 137
18, 680, 515
19, 541, 444
20, 535, 481
21, 502, 430
22, 583, 428
23, 610, 434
24, 323, 940
25, 230, 850
26, 197, 877
27, 194, 866
28, 170, 925
29, 266, 889
30, 919, 194
31, 1000, 119
32, 900, 230
33, 1000, 60
34, 1000, 132
35, 858, 157
% number of vessels
7
% number of vessel types
3
% for each vesseltype: vessel_id, battery range, operational cost, speed, passenger capacity, fixed cost
1, 1500, 3, 20, 12, 15000 
2, 2000, 6, 22, 17, 17500 
3, 2750, 11, 25, 25, 22500 
% number of charging stations
5
% for each charging station: node, x, y
1, 646, 664
2, 867, 219
3, 583, 479
4, 261, 872
5, 986, 147
% number of jobs
30
% for each job: node, crew needed
6, 3
7, 2
8, 3
9, 5
10, 3
11, 8
12, 3
13, 4
14, 7
15, 6
16, 6
17, 1
18, 5
19, 4
20, 2
21, 5
22, 5
23, 3
24, 6
25, 5
26, 4
27, 6
28, 3
29, 1
30, 5
31, 5
32, 2
33, 5
34, 3
35, 5
% number of nodes
60
% for each node: node, binary
6, 0
6, 1
7, 0
7, 1
8, 0
8, 1
9, 0
9, 1
10, 0
10, 1
11, 0
11, 1
12, 0
12, 1
13, 0
13, 1
14, 0
14, 1
15, 0
15, 1
16, 0
16, 1
17, 0
17, 1
18, 0
18, 1
19, 0
19, 1
20, 0
20, 1
21, 0
21, 1
22, 0
22, 1
23, 0
23, 1
24, 0
24, 1
25, 0
25, 1
26, 0
26, 1
27, 0
27, 1
28, 0
28, 1
29, 0
29, 1
30, 0
30, 1
31, 0
31, 1
32, 0
32, 1
33, 0
33, 1
34, 0
34, 1
35, 0
35, 1
% costs
% fixed penalty
5000
% penalty per crew
1000
% preprocessing
% PreferredCS 
(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)
(2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0)
(3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0)
(4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0)
(5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0)
(3, 169.17), (1, 28.0), (2, 471.94), (3, 169.17), (4, 451.58), (5, 595.58), (1, 28.0), (1, 28.0), (1, 28.0), (1, 28.0), (1, 28.0), (1, 28.0), (2, 471.94), (2, 471.94), (2, 471.94), (2, 471.94), (2, 471.94), (2, 471.94), (1, 28.0), (3, 169.17), (3, 169.17), (3, 169.17), (3, 169.17), (3, 169.17), (1, 28.0), (1, 28.0), (4, 451.58), (4, 451.58), (4, 451.58), (4, 451.58), (2, 471.94), (5, 595.58), (2, 471.94), (2, 471.94), (5, 595.58), (2, 471.94)
